location,province_or_municipality,pilot_year,date_created,date_announced,specialization_or_note,source_url
Beijing,Beijing,2019,2019-02-20,2019-02-25,Leading research institutes; high expert concentration,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Shanghai,Shanghai,2019,2019-05-22,2019-06-11,Science/education resources; application scenes; massive data; openness,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Hangzhou,Zhejiang,2019,2019-10-17,2019-10-18,Academic research; application scenes; industrial base,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Hefei,Anhui,2019,2019-10-17,2019-10-18,Intelligent speech; robotics; expert concentration,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Shenzhen,Guangdong,2019,2019-10-17,2019-10-18,R&D capacity; high-end talent; complete production chain,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Tianjin,Tianjin,2019,2019-10-17,2019-10-18,Computing capacity; data resources,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Deqing County,Zhejiang,2019,2019-11-02,2019-11-05,Autonomous driving; smart agriculture; county-level intelligent governance,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Chengdu,Sichuan,2020,2020-01-23,2020-03-09,Diverse application scenes; science/education resources,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Chongqing,Chongqing,2020,2020-01-23,2020-03-09,Industrial base; smart manufacturing; smart city; AI software; robotics,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Jinan,Shandong,2020,2020-01-23,2020-03-09,Computing infrastructure; data resources; manufacturing/agriculture/transport applications,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Xi'an,Shaanxi,2020,2020-01-23,2020-03-09,Intelligent sensing and processing; intelligent interaction,https://cset.georgetown.edu/publication/china-creates-national-new-generation-artificial-intelligence-innovation-and-development-pilot-zones/
Guangzhou,Guangdong,2020,,2020-09-03,Added by MOST; included in 17-zone list,https://www.jjckb.cn/2021-12/09/c_1310360145.htm
Wuhan,Hubei,2020,,2020-09-03,Added by MOST; included in 17-zone list,https://www.jjckb.cn/2021-12/09/c_1310360145.htm
Suzhou,Jiangsu,2021,,,Included in 17-zone list by Dec 2021,https://www.jjckb.cn/2021-12/09/c_1310360145.htm
Changsha,Hunan,2021,,,Included in 17-zone list by Dec 2021,https://www.jjckb.cn/2021-12/09/c_1310360145.htm
Zhengzhou,Henan,2021,,,Included in 17-zone list by Dec 2021,https://www.jjckb.cn/2021-12/09/c_1310360145.htm
Shenyang,Liaoning,2021,,2021-11-13,Included in 17-zone list by Dec 2021,https://www.jjckb.cn/2021-12/09/c_1310360145.htm
