project_id,city,province,city_confidence,notes,override_source,resolution_class,evidence_url,evidence_type,external_evidence_url,reviewer,review_date
2024_2024_first_batch_0001,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0002,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0003,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0004,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0005,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0006,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0007,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0008,Beijing,Beijing,exact,location field is direct municipality: 北京市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0009,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0010,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0011,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0012,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0013,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0014,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0015,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0016,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0017,Tianjin,Tianjin,exact,location field is direct municipality: 天津市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0018,Tangshan,Hebei,high,City token '京唐' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0019,Tangshan,Hebei,high,City token '唐山' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0020,Shijiazhuang,Hebei,high,Junlebao dairy HQ and plants in Shijiazhuang. (registry match: 君乐宝乳业集团),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0021,Qinhuangdao,Hebei,high,CITIC Dicastal wheel manufacturing in Qinhuangdao. (registry match: 中信戴卡股份),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0022,Tangshan,Hebei,high,City token '唐山' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0024,Handan,Hebei,high,Jinding Heavy Industry in Handan Yongnian area. (registry match: 金鼎重工),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0025,Chengde,Hebei,high,City token '承德' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0026,Xingtai,Hebei,high,City token '沙河' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0027,Jincheng,Shanxi,high,Jincheng iron & steel cluster. (registry match: 山西晋钢智造),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0028,Jinzhong,Shanxi,high,City token '榆次' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0029,Hohhot,Inner Mongolia,high,Yili Inner Mongolia production entity. (registry match: 内蒙古金海伊利),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0030,Baotou,Inner Mongolia,high,City token '包头' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0031,Baotou,Inner Mongolia,high,China Northern Rare Earth HQ/plants in Baotou. (registry match: 中国北方稀土),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0032,Shenyang,Liaoning,high,City token '沈阳' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0033,Shenyang,Liaoning,high,Shenyang Blower Works HQ/plant in Shenyang. (registry match: 沈鼓集团股份),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0034,Shenyang,Liaoning,high,City token '沈阳' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0035,Shenyang,Liaoning,high,Sany mining equipment base in Shenyang. (registry match: 三一重型装备),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0036,Lingyuan,Liaoning,high,City token '凌源' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0037,Shenyang,Liaoning,high,City token '沈阳' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0038,Tieling,Liaoning,high,city from parenthetical in firm name: 铁岭,firm_parenthetical,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_parenthetical,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0039,Changchun,Jilin,high,City token '长春' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0040,Changchun,Jilin,high,City token '一汽' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0041,Changchun,Jilin,high,City token '一汽' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0042,Jilin,Jilin,high,Jidong Cement Panshi city plant. (registry match: 冀东水泥磐石),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0043,Qiqihar,Heilongjiang,high,Feihe dairy manufacturing in Qiqihar. (registry match: 黑龙江飞鹤乳业),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0044,Mudanjiang,Heilongjiang,high,City token '牡丹江' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0045,Xilinhot,Inner Mongolia,high,Jianlong steel plant in Xilin Gol (listed as Heilongjiang border plant). (registry match: 建龙西林钢铁),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0047,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0048,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0049,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0050,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0051,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0052,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0053,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0054,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0055,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0056,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0057,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0058,Shanghai,Shanghai,exact,location field is direct municipality: 上海市,miit_location_field,official_location_exact,https://cn.solarbe.com/news/20250103/92225.html,miit_location_field,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0059,Nanjing,Jiangsu,high,City token '南京' in legal entity name; province-only MIIT location.,firm_embedded_city_token,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_embedded_city_token,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0060,Changshu,Jiangsu,high,Changshu headquarters and manufacturing base (Jiangsu province list row). (registry match: 波司登羽绒服装),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0061,Lianyungang,Jiangsu,high,Kangwon Pharma manufacturing base in Lianyungang. (registry match: 江苏康缘药业),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0063,Taizhou,Jiangsu,high,"Yangtze River Pharmaceutical Group HQ/plant in Taizhou, Jiangsu. (registry match: 扬子江药业集团)",firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0064,Nanjing,Jiangsu,high,CETC 14th institute Nanjing. (registry match: 中国电子科技集团公司),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0065,Suzhou,Jiangsu,high,2024 annual report lists registered address in 吴江区七都镇 and office address in 苏州市吴江区.,external_verification_queue,external_evidence_verified,https://www.htgd.com.cn/web/bocupload/2025/05/13/17471109699878v8taz.pdf,company_annual_report,https://www.htgd.com.cn/web/bocupload/2025/05/13/17471109699878v8taz.pdf,,
2024_2024_first_batch_0066,Wuxi,Jiangsu,high,HLA Group based in Jiangyin/Wuxi area. (registry match: 海澜之家集团),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
2024_2024_first_batch_0067,Danyang,Jiangsu,high,Yuyue medical equipment production in Danyang. (registry match: 江苏鱼跃医疗设备),firm_registry_match,rule_based_text_inference,https://cn.solarbe.com/news/20250103/92225.html,firm_registry_match,,geo_audit_pipeline,2026-05-20
