project_id,firm_name_zh,project_name_zh,assigned_city,assigned_province,resolution_class,evidence_type,evidence_url,auditor_decision,corrected_city,corrected_province,audit_notes,auditor,audit_date
2025_2025_excellence_batch_0030,内蒙古金泽伊利乳业有限责任公司,婴幼儿配方奶粉端到端数字化协同智能工厂,Hohhot,Inner Mongolia,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0268,国家能源集团宁夏煤业有限责任公司煤制油分公司,数字化驱动的高效转化煤制油智能工厂,Yinchuan,Ningxia,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed conservatively because the assigned city is explicitly visible in the Chinese firm/project text; registry-derived inference remains non-external.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0030,包头铝业有限公司,高效绿色低碳的电解铝智能工厂,Baotou,Inner Mongolia,rule_based_text_inference,firm_embedded_city_token,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0190,中材锂膜有限公司,高端湿法锂电池隔膜全链协同智能工厂,Changzhou,Jiangsu,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0071,苏州元脑智能科技有限公司,数智融合敏捷柔性的高性能主板智能工厂,Suzhou,Jiangsu,rule_based_text_inference,html_p_tag_rtl_location,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0149,锐捷网络股份有限公司,集成管控的网络设备智能工厂,Fuzhou,Fujian,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0079,江苏优嘉植物保护有限公司,全价值链协同管控植保智能工厂,Nantong,Jiangsu,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0180,华润水泥（田阳）有限公司,工业模型驱动的水泥智能工厂,Baise,Guangxi,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0251,宜宾五粮液股份有限公司,白酒全产业链数字化融合智能工厂,Yibin,Sichuan,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0214,吴忠仪表有限责任公司,高参数控制阀个性化定制智能工厂,Wuzhong,Ningxia,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0122,潍柴动力股份有限公司,数据驱动的高端发动机智能工厂,Weifang,Shandong,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0222,无限极（中国）有限公司,中草药产品全链路数智化智能工厂,Zhongshan,Guangdong,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0155,湖南科伦制药有限公司,AI 驱动的大容量注射液产品智能工厂,Yueyang,Hunan,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0044,牡丹江恒丰纸业股份有限公司,特种纸一体化管控的数字孪生智能工厂,Mudanjiang,Heilongjiang,rule_based_text_inference,firm_embedded_city_token,https://cn.solarbe.com/news/20250103/92225.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0067,江苏鱼跃医疗设备股份有限公司,基于 AI 与物联网的医疗器械智能工厂,Danyang,Jiangsu,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2024_2024_first_batch_0182,海南金盘智能科技股份有限公司,基于数字孪生的高端干式变压器智能工厂,Haikou,Hainan,rule_based_text_inference,firm_registry_match,https://cn.solarbe.com/news/20250103/92225.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0112,寰宇东方国际集装箱（宁波）有限公司,AI融合数字孪生绿色集装箱智能工厂,Ningbo,Zhejiang,rule_based_text_inference,firm_parenthetical,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0140,洽洽食品股份有限公司,坚果规模化定制智能工厂,Hefei,Anhui,rule_based_text_inference,firm_embedded_city_token,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0023,耀华（秦皇岛）玻璃有限公司,平台驱动的浮法玻璃智能工厂,Qinhuangdao,Hebei,rule_based_text_inference,firm_parenthetical,https://jlts.com.cn/i/news/detail/2571072131159669662.html,confirmed,,,Confirmed by direct city signal in firm/project/source-row text; not external verification.,conservative_audit_workflow,2026-05-22
2025_2025_excellence_batch_0122,卧龙电气驱动集团股份有限公司,超高效BLDC电机全流程智能工厂,Shaoxing,Zhejiang,rule_based_text_inference,firm_registry_match,https://jlts.com.cn/i/news/detail/2571072131159669662.html,insufficient_evidence,,,"Registry-derived rule present, but sample row provides no independent non-list evidence for city assignment.",conservative_audit_workflow,2026-05-22
